language	Rank_in	percentage
it	top1	0.16752312435765673
cs	top1	0.17710974284679465
zh	top1	0.15833333333333333
nl	top1	0.19252971137521221
de	top1	0.1803921568627451
es	top1	0.17141863699582754
en	top1	0.18986880466472303
tr	top1	0.16038714137573454
it	top3	0.26652963343610825
cs	top3	0.2672944585295183
zh	top3	0.25533333333333336
nl	top3	0.2709677419354839
de	top3	0.2645276292335116
es	top3	0.27399165507649514
en	top3	0.2780612244897959
tr	top3	0.2571724853093674
it	top5	0.3055841041452552
cs	top5	0.30387540746106484
zh	top5	0.26866666666666666
nl	top5	0.30390492359932086
de	top5	0.30053475935828877
es	top5	0.3226703755215577
en	top5	0.3261661807580175
tr	top5	0.28828206014517804
it	top10	0.3062692702980473
cs	top10	0.3049619703006157
zh	top10	0.269
nl	top10	0.30390492359932086
de	top10	0.30053475935828877
es	top10	0.3247566063977747
en	top10	0.3338192419825073
tr	top10	0.28862772208779813
it	not_found	0.6937307297019527
cs	not_found	0.6950380296993843
zh	not_found	0.731
nl	not_found	0.6960950764006791
de	not_found	0.6994652406417112
es	not_found	0.6752433936022253
en	not_found	0.6661807580174927
tr	not_found	0.7113722779122018
