rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Familial dilated cardiomyopathy	MONDO:0016333	('OMIM:115200', 'Cardiomyopathy, dilated, 1A')	0.5	True
1	Familial dilated cardiomyopathy	MONDO:0005021	('OMIM:115200', 'Cardiomyopathy, dilated, 1A')	0.5	True
2	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	MONDO:0016587	('OMIM:115200', 'Cardiomyopathy, dilated, 1A')	0.0	False
3	Hypertrophic cardiomyopathy (HCM)	MONDO:0005045	('OMIM:115200', 'Cardiomyopathy, dilated, 1A')	0.0	False
4	Brugada syndrome	MONDO:0015263	('OMIM:115200', 'Cardiomyopathy, dilated, 1A')	0.0	False
5	Long QT syndrome	MONDO:0019171	('OMIM:115200', 'Cardiomyopathy, dilated, 1A')	0.0	False
5	Long QT syndrome	MONDO:0002442	('OMIM:115200', 'Cardiomyopathy, dilated, 1A')	0.0	False
6	Lamin A/C-related cardiomyopathy	N/A	('OMIM:115200', 'Cardiomyopathy, dilated, 1A')	0.0	False
7	Danon disease	MONDO:0010281	('OMIM:115200', 'Cardiomyopathy, dilated, 1A')	0.0	False
8	Barth syndrome	MONDO:0010543	('OMIM:115200', 'Cardiomyopathy, dilated, 1A')	0.0	False
