rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Angelman syndrome	MONDO:0007113	('OMIM:617527', 'Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies')	0.0	False
2	Zellweger spectrum disorder	MONDO:0019234	('OMIM:617527', 'Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies')	0.0	False
3	Rett syndrome	MONDO:0010726	('OMIM:617527', 'Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies')	0.0	False
4	Adrenoleukodystrophy	MONDO:0010247	('OMIM:617527', 'Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies')	0.0	False
4	Adrenoleukodystrophy	MONDO:0018544	('OMIM:617527', 'Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies')	0.0	False
5	Kleefstra syndrome	MONDO:0012455	('OMIM:617527', 'Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies')	0.0	False
5	Kleefstra syndrome	MONDO:0027407	('OMIM:617527', 'Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies')	0.0	False
6	Sotos syndrome	MONDO:0019349	('OMIM:617527', 'Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies')	0.0	False
7	Tay-Sachs disease	MONDO:0010100	('OMIM:617527', 'Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies')	0.0	False
8	Infantile neuroaxonal dystrophy	MONDO:0024457	('OMIM:617527', 'Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies')	0.0	False
