rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Aicardi syndrome	MONDO:0010568	('OMIM:616211', 'Developmental and epileptic encephalopathy 28')	0.0	False
2	Rett syndrome	MONDO:0010726	('OMIM:616211', 'Developmental and epileptic encephalopathy 28')	0.0	False
3	Infantile neuroaxonal dystrophy	MONDO:0024457	('OMIM:616211', 'Developmental and epileptic encephalopathy 28')	0.0	False
4	West syndrome	MONDO:0018097	('OMIM:616211', 'Developmental and epileptic encephalopathy 28')	0.0	False
5	Glucose transporter type 1 deficiency syndrome (GLUT1DS)	MONDO:0000188	('OMIM:616211', 'Developmental and epileptic encephalopathy 28')	0.0	False
6	Mitochondrial encephalomyopathy, lactic acidosis, and stroke-like episodes (MELAS)	MONDO:0010789	('OMIM:616211', 'Developmental and epileptic encephalopathy 28')	0.0	False
7	Glycine encephalopathy (Nonketotic hyperglycinemia)	MONDO:0011612	('OMIM:616211', 'Developmental and epileptic encephalopathy 28')	0.0	False
8	Angelman syndrome	MONDO:0007113	('OMIM:616211', 'Developmental and epileptic encephalopathy 28')	0.0	False
9	Dravet syndrome	MONDO:0100135	('OMIM:616211', 'Developmental and epileptic encephalopathy 28')	0.0	False
9	Dravet syndrome	MONDO:0100079	('OMIM:616211', 'Developmental and epileptic encephalopathy 28')	0.0	False
