rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Cleidocranial dysplasia	MONDO:0007340	('OMIM:612313', 'Glass syndrome')	0.0	False
2	Treacher Collins syndrome	MONDO:0007944	('OMIM:612313', 'Glass syndrome')	0.0	False
2	Treacher Collins syndrome	MONDO:0002457	('OMIM:612313', 'Glass syndrome')	0.0	False
3	Saethre-Chotzen syndrome	MONDO:0007042	('OMIM:612313', 'Glass syndrome')	0.0	False
4	Velocardiofacial syndrome (22q11.2 deletion syndrome)	MONDO:0008644	('OMIM:612313', 'Glass syndrome')	0.0	False
5	Osteogenesis imperfecta	MONDO:0019019	('OMIM:612313', 'Glass syndrome')	0.0	False
6	Rubinstein-Taybi syndrome	MONDO:0019188	('OMIM:612313', 'Glass syndrome')	0.0	False
7	Pseudohypoparathyroidism	MONDO:0019992	('OMIM:612313', 'Glass syndrome')	0.0	False
8	Hypophosphatasia	MONDO:0018570	('OMIM:612313', 'Glass syndrome')	0.0	False
8	Hypophosphatasia	MONDO:0009948	('OMIM:612313', 'Glass syndrome')	0.0	False
9	Kabuki syndrome	MONDO:0016512	('OMIM:612313', 'Glass syndrome')	0.0	False
9	Kabuki syndrome	MONDO:0007843	('OMIM:612313', 'Glass syndrome')	0.0	False
10	Stickler syndrome	MONDO:0019354	('OMIM:612313', 'Glass syndrome')	0.0	False
