rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Zellweger spectrum disorder	MONDO:0019234	('OMIM:612313', 'Glass syndrome')	0.0	False
2	GLUT1 deficiency syndrome	MONDO:0000188	('OMIM:612313', 'Glass syndrome')	0.0	False
2	GLUT1 deficiency syndrome	MONDO:0011724	('OMIM:612313', 'Glass syndrome')	0.0	False
3	Menkes disease	MONDO:0010651	('OMIM:612313', 'Glass syndrome')	0.0	False
4	Pyruvate dehydrogenase deficiency	MONDO:0019169	('OMIM:612313', 'Glass syndrome')	0.0	False
5	Mitochondrial encephalomyopathy	MONDO:0004675	('OMIM:612313', 'Glass syndrome')	0.0	False
6	Osteogenesis imperfecta	MONDO:0019019	('OMIM:612313', 'Glass syndrome')	0.0	False
7	Hypophosphatasia	MONDO:0018570	('OMIM:612313', 'Glass syndrome')	0.0	False
7	Hypophosphatasia	MONDO:0009948	('OMIM:612313', 'Glass syndrome')	0.0	False
8	Congenital disorders of glycosylation	MONDO:0015286	('OMIM:612313', 'Glass syndrome')	0.0	False
