rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Smith-Lemli-Opitz syndrome	MONDO:0010035	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
2	Angelman syndrome	MONDO:0007113	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
3	Rett syndrome	MONDO:0010726	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
4	Fragile X syndrome	MONDO:0010383	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
5	Cohen syndrome	MONDO:0008999	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
6	Pitt-Hopkins syndrome	MONDO:0012589	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
7	Phelan-McDermid syndrome	MONDO:0011652	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
8	MECP2 duplication syndrome	MONDO:0010283	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
9	Mowat-Wilson syndrome	MONDO:0009341	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
10	SHANK3-related disorder	N/A	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
