rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Kabuki syndrome	MONDO:0016512	('OMIM:618164', 'Cardiac, facial, and digital anomalies with developmental delay')	0.0	False
1	Kabuki syndrome	MONDO:0007843	('OMIM:618164', 'Cardiac, facial, and digital anomalies with developmental delay')	0.0	False
2	Noonan syndrome	MONDO:0008104	('OMIM:618164', 'Cardiac, facial, and digital anomalies with developmental delay')	0.0	False
2	Noonan syndrome	MONDO:0018997	('OMIM:618164', 'Cardiac, facial, and digital anomalies with developmental delay')	0.0	False
3	CHARGE syndrome	MONDO:0008965	('OMIM:618164', 'Cardiac, facial, and digital anomalies with developmental delay')	0.0	False
4	Williams syndrome	MONDO:0008678	('OMIM:618164', 'Cardiac, facial, and digital anomalies with developmental delay')	0.0	False
5	Smith-Lemli-Opitz syndrome	MONDO:0010035	('OMIM:618164', 'Cardiac, facial, and digital anomalies with developmental delay')	0.0	False
6	Floating-Harbor syndrome	MONDO:0007621	('OMIM:618164', 'Cardiac, facial, and digital anomalies with developmental delay')	0.0	False
7	22q11.2 deletion syndrome (DiGeorge syndrome)	MONDO:0018923	('OMIM:618164', 'Cardiac, facial, and digital anomalies with developmental delay')	0.0	False
8	Cornelia de Lange syndrome	MONDO:0016033	('OMIM:618164', 'Cardiac, facial, and digital anomalies with developmental delay')	0.0	False
