rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Rubinstein-Taybi syndrome	MONDO:0019188	('OMIM:620155', 'Rabin-Pappas syndrome')	0.0	False
2	Cornelia de Lange syndrome	MONDO:0016033	('OMIM:620155', 'Rabin-Pappas syndrome')	0.0	False
3	Smith-Lemli-Opitz syndrome	MONDO:0010035	('OMIM:620155', 'Rabin-Pappas syndrome')	0.0	False
4	Noonan syndrome	MONDO:0008104	('OMIM:620155', 'Rabin-Pappas syndrome')	0.0	False
4	Noonan syndrome	MONDO:0018997	('OMIM:620155', 'Rabin-Pappas syndrome')	0.0	False
5	Kabuki syndrome	MONDO:0016512	('OMIM:620155', 'Rabin-Pappas syndrome')	0.0	False
5	Kabuki syndrome	MONDO:0007843	('OMIM:620155', 'Rabin-Pappas syndrome')	0.0	False
6	CHARGE syndrome	MONDO:0008965	('OMIM:620155', 'Rabin-Pappas syndrome')	0.0	False
7	Williams syndrome	MONDO:0008678	('OMIM:620155', 'Rabin-Pappas syndrome')	0.0	False
8	Trisomy 22	MONDO:0022759	('OMIM:620155', 'Rabin-Pappas syndrome')	0.0	False
9	Aicardi syndrome	MONDO:0010568	('OMIM:620155', 'Rabin-Pappas syndrome')	0.0	False
