rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Aicardi-Goutières syndrome	MONDO:0018866	('OMIM:613721', 'Developmental and epileptic encephalopathy 11')	0.0	False
2	Early Infantile Epileptic Encephalopathy	MONDO:0100062	('OMIM:613721', 'Developmental and epileptic encephalopathy 11')	0.5	True
3	Rett syndrome	MONDO:0010726	('OMIM:613721', 'Developmental and epileptic encephalopathy 11')	0.0	False
4	Zellweger spectrum disorder	MONDO:0019234	('OMIM:613721', 'Developmental and epileptic encephalopathy 11')	0.0	False
5	Krabbe disease	MONDO:0009499	('OMIM:613721', 'Developmental and epileptic encephalopathy 11')	0.0	False
6	Alexander disease	MONDO:0008752	('OMIM:613721', 'Developmental and epileptic encephalopathy 11')	0.0	False
7	Pelizaeus-Merzbacher disease	MONDO:0010714	('OMIM:613721', 'Developmental and epileptic encephalopathy 11')	0.0	False
8	MECP2 duplication syndrome	MONDO:0010283	('OMIM:613721', 'Developmental and epileptic encephalopathy 11')	0.0	False
9	GLB1-related disorders (GM1 gangliosidosis)	MONDO:0018149	('OMIM:613721', 'Developmental and epileptic encephalopathy 11')	0.0	False
10	Pyruvate dehydrogenase deficiency	MONDO:0019169	('OMIM:613721', 'Developmental and epileptic encephalopathy 11')	0.0	False
