rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Rett syndrome	MONDO:0010726	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
2	Angelman syndrome	MONDO:0007113	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
3	MECP2 duplication syndrome	MONDO:0010283	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
4	CDG (Congenital Disorder of Glycosylation)	MONDO:0015286	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
5	FOXG1 syndrome	MONDO:0035383	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
6	SLC9A6-related Christianson syndrome	MONDO:0010278	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
7	Mitochondrial disorder (e.g., Mitochondrial Encephalomyopathy, Lactic Acidosis, and Stroke-like episodes - MELAS)	MONDO:0010789	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
8	KANSL1-related syndrome (Koolen-de Vries syndrome)	MONDO:0012496	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
9	Lesch-Nyhan syndrome	MONDO:0010298	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
10	NGLY1 deficiency	MONDO:0800044	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
