rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Aarskog-Scott Syndrome	MONDO:0007030	('OMIM:147791', 'Jacobsen syndrome')	0.0	False
1	Aarskog-Scott Syndrome	MONDO:0010589	('OMIM:147791', 'Jacobsen syndrome')	0.0	False
1	Aarskog-Scott Syndrome	MONDO:0021005	('OMIM:147791', 'Jacobsen syndrome')	0.0	False
2	Noonan Syndrome	MONDO:0018997	('OMIM:147791', 'Jacobsen syndrome')	0.0	False
2	Noonan Syndrome	MONDO:0008104	('OMIM:147791', 'Jacobsen syndrome')	0.0	False
3	Williams Syndrome	MONDO:0008678	('OMIM:147791', 'Jacobsen syndrome')	0.0	False
4	Robinow Syndrome	MONDO:0019978	('OMIM:147791', 'Jacobsen syndrome')	0.0	False
5	Cornelia de Lange Syndrome	MONDO:0016033	('OMIM:147791', 'Jacobsen syndrome')	0.0	False
6	Smith-Lemli-Opitz Syndrome	MONDO:0010035	('OMIM:147791', 'Jacobsen syndrome')	0.0	False
7	Fragile X Syndrome	MONDO:0010383	('OMIM:147791', 'Jacobsen syndrome')	0.0	False
8	Opitz G/BBB Syndrome	MONDO:0017138	('OMIM:147791', 'Jacobsen syndrome')	0.0	False
9	Kallmann Syndrome	MONDO:0018800	('OMIM:147791', 'Jacobsen syndrome')	0.0	False
10	Russell-Silver Syndrome	MONDO:0008394	('OMIM:147791', 'Jacobsen syndrome')	0.0	False
