rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Noonan syndrome	MONDO:0018997	('OMIM:609942', 'Noonan syndrome 3')	0.5	True
1	Noonan syndrome	MONDO:0008104	('OMIM:609942', 'Noonan syndrome 3')	0.0	False
2	Cardiofaciocutaneous syndrome	MONDO:0007265	('OMIM:609942', 'Noonan syndrome 3')	0.0	False
2	Cardiofaciocutaneous syndrome	MONDO:0015280	('OMIM:609942', 'Noonan syndrome 3')	0.0	False
3	Costello syndrome	MONDO:0009026	('OMIM:609942', 'Noonan syndrome 3')	0.0	False
4	Marfan syndrome	MONDO:0007947	('OMIM:609942', 'Noonan syndrome 3')	0.0	False
5	Williams syndrome	MONDO:0008678	('OMIM:609942', 'Noonan syndrome 3')	0.0	False
6	Branchiooculofacial syndrome	MONDO:0007235	('OMIM:609942', 'Noonan syndrome 3')	0.0	False
7	Kabuki syndrome	MONDO:0007843	('OMIM:609942', 'Noonan syndrome 3')	0.0	False
7	Kabuki syndrome	MONDO:0016512	('OMIM:609942', 'Noonan syndrome 3')	0.0	False
8	Smith-Lemli-Opitz syndrome	MONDO:0010035	('OMIM:609942', 'Noonan syndrome 3')	0.0	False
