rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Huntington's disease	MONDO:0007739	('OMIM:606693', 'Kufor-Rakeb syndrome')	0.0	False
2	Wilson disease	MONDO:0010200	('OMIM:606693', 'Kufor-Rakeb syndrome')	0.0	False
3	Multiple system atrophy	MONDO:0007803	('OMIM:606693', 'Kufor-Rakeb syndrome')	0.0	False
4	Progressive supranuclear palsy	MONDO:0019037	('OMIM:606693', 'Kufor-Rakeb syndrome')	0.0	False
5	Frontotemporal dementia	MONDO:0017276	('OMIM:606693', 'Kufor-Rakeb syndrome')	0.0	False
5	Frontotemporal dementia	MONDO:0010857	('OMIM:606693', 'Kufor-Rakeb syndrome')	0.0	False
6	Spinocerebellar ataxia	MONDO:0000437	('OMIM:606693', 'Kufor-Rakeb syndrome')	0.0	False
6	Spinocerebellar ataxia	MONDO:0020380	('OMIM:606693', 'Kufor-Rakeb syndrome')	0.0	False
7	Hereditary spastic paraplegia	MONDO:0019064	('OMIM:606693', 'Kufor-Rakeb syndrome')	0.0	False
8	Neurodegeneration with brain iron accumulation	MONDO:0018307	('OMIM:606693', 'Kufor-Rakeb syndrome')	0.5	True
