rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Treacher Collins syndrome	MONDO:0007944	('OMIM:613717', 'Treacher Collins syndrome 2')	0.0	False
1	Treacher Collins syndrome	MONDO:0002457	('OMIM:613717', 'Treacher Collins syndrome 2')	0.5	True
2	Nager syndrome	MONDO:0007943	('OMIM:613717', 'Treacher Collins syndrome 2')	0.0	False
3	Pierre Robin sequence	MONDO:0009869	('OMIM:613717', 'Treacher Collins syndrome 2')	0.0	False
4	Goldenhar syndrome	MONDO:0015397	('OMIM:613717', 'Treacher Collins syndrome 2')	0.0	False
5	Down syndrome	MONDO:0008608	('OMIM:613717', 'Treacher Collins syndrome 2')	0.0	False
6	DiGeorge syndrome	MONDO:0008564	('OMIM:613717', 'Treacher Collins syndrome 2')	0.0	False
6	DiGeorge syndrome	MONDO:0018923	('OMIM:613717', 'Treacher Collins syndrome 2')	0.0	False
7	Crouzon syndrome	MONDO:0007405	('OMIM:613717', 'Treacher Collins syndrome 2')	0.0	False
8	Apert syndrome	MONDO:0007041	('OMIM:613717', 'Treacher Collins syndrome 2')	0.0	False
