rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Nager acrofacial dysostosis	MONDO:0007943	('OMIM:154400', 'Acrofacial dysostosis 1, Nager type')	1.0	True
2	Treacher Collins syndrome	MONDO:0007944	('OMIM:154400', 'Acrofacial dysostosis 1, Nager type')	0.0	False
2	Treacher Collins syndrome	MONDO:0002457	('OMIM:154400', 'Acrofacial dysostosis 1, Nager type')	0.0	False
3	Fanconi anemia	MONDO:0009215	('OMIM:154400', 'Acrofacial dysostosis 1, Nager type')	0.0	False
3	Fanconi anemia	MONDO:0019391	('OMIM:154400', 'Acrofacial dysostosis 1, Nager type')	0.0	False
4	Holt-Oram syndrome	MONDO:0007732	('OMIM:154400', 'Acrofacial dysostosis 1, Nager type')	0.0	False
5	Townes-Brocks syndrome	MONDO:0007142	('OMIM:154400', 'Acrofacial dysostosis 1, Nager type')	0.0	False
6	Greig cephalopolysyndactyly syndrome	MONDO:0008287	('OMIM:154400', 'Acrofacial dysostosis 1, Nager type')	0.0	False
7	Robinow syndrome	MONDO:0019978	('OMIM:154400', 'Acrofacial dysostosis 1, Nager type')	0.0	False
8	Down syndrome	MONDO:0008608	('OMIM:154400', 'Acrofacial dysostosis 1, Nager type')	0.0	False
