rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	22q11.2 Deletion Syndrome (DiGeorge Syndrome)	MONDO:0018923	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
2	Rett Syndrome	MONDO:0010726	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
3	Cornelia de Lange Syndrome	MONDO:0016033	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
4	Noonan Syndrome	MONDO:0018997	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
4	Noonan Syndrome	MONDO:0008104	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
5	Aarskog-Scott Syndrome	MONDO:0007030	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
5	Aarskog-Scott Syndrome	MONDO:0010589	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
5	Aarskog-Scott Syndrome	MONDO:0021005	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
6	Rubinstein-Taybi Syndrome	MONDO:0019188	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
7	Smith-Magenis Syndrome	MONDO:0008434	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
8	Williams Syndrome	MONDO:0008678	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
9	Fragile X Syndrome	MONDO:0010383	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
