rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Canavan Disease	MONDO:0010079	('OMIM:616975', 'Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart')	0.0	False
2	Alexander Disease	MONDO:0008752	('OMIM:616975', 'Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart')	0.0	False
3	PTEN Hamartoma Tumor Syndrome	MONDO:0017623	('OMIM:616975', 'Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart')	0.0	False
4	Megalencephaly-Capillary Malformation Syndrome	MONDO:0011240	('OMIM:616975', 'Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart')	0.0	False
5	Sotos Syndrome	MONDO:0019349	('OMIM:616975', 'Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart')	0.0	False
6	Fragile X Syndrome	MONDO:0010383	('OMIM:616975', 'Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart')	0.0	False
7	Autism Spectrum Disorder	MONDO:0005260	('OMIM:616975', 'Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart')	0.0	False
7	Autism Spectrum Disorder	MONDO:0005258	('OMIM:616975', 'Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart')	0.0	False
8	Mucopolysaccharidosis	MONDO:0019249	('OMIM:616975', 'Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart')	0.0	False
9	Megalencephalic Leukoencephalopathy with Subcortical Cysts	MONDO:0011391	('OMIM:616975', 'Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart')	0.0	False
9	Megalencephalic Leukoencephalopathy with Subcortical Cysts	MONDO:0024555	('OMIM:616975', 'Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart')	0.0	False
10	Tuberous Sclerosis	MONDO:0001734	('OMIM:616975', 'Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart')	0.0	False
