rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Russell-Silver Syndrome	MONDO:0008394	('OMIM:163950', 'Noonan syndrome 1')	0.0	False
2	Noonan Syndrome	MONDO:0018997	('OMIM:163950', 'Noonan syndrome 1')	0.5	True
2	Noonan Syndrome	MONDO:0008104	('OMIM:163950', 'Noonan syndrome 1')	1.0	True
3	Down Syndrome	MONDO:0008608	('OMIM:163950', 'Noonan syndrome 1')	0.0	False
4	Aarskog-Scott Syndrome	MONDO:0007030	('OMIM:163950', 'Noonan syndrome 1')	0.0	False
4	Aarskog-Scott Syndrome	MONDO:0010589	('OMIM:163950', 'Noonan syndrome 1')	0.0	False
4	Aarskog-Scott Syndrome	MONDO:0021005	('OMIM:163950', 'Noonan syndrome 1')	0.0	False
5	Beckwith-Wiedemann Syndrome	MONDO:0007534	('OMIM:163950', 'Noonan syndrome 1')	0.0	False
6	Ehlers-Danlos Syndrome	MONDO:0020066	('OMIM:163950', 'Noonan syndrome 1')	0.0	False
7	Homocystinuria	MONDO:0004737	('OMIM:163950', 'Noonan syndrome 1')	0.0	False
8	Turner Syndrome (though typically in females)	N/A	('OMIM:163950', 'Noonan syndrome 1')	0.0	False
9	Loeys-Dietz Syndrome	MONDO:0018954	('OMIM:163950', 'Noonan syndrome 1')	0.0	False
10	Fragile X Syndrome	MONDO:0010383	('OMIM:163950', 'Noonan syndrome 1')	0.0	False
