rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Aarskog–Scott Syndrome	MONDO:0010589	('OMIM:617694', 'Al Kaissi syndrome')	0.0	False
2	Noonan Syndrome	MONDO:0018997	('OMIM:617694', 'Al Kaissi syndrome')	0.0	False
2	Noonan Syndrome	MONDO:0008104	('OMIM:617694', 'Al Kaissi syndrome')	0.0	False
3	Rubinstein-Taybi Syndrome	MONDO:0019188	('OMIM:617694', 'Al Kaissi syndrome')	0.0	False
4	Mowat-Wilson Syndrome	MONDO:0009341	('OMIM:617694', 'Al Kaissi syndrome')	0.0	False
5	Smith-Lemli-Opitz Syndrome	MONDO:0010035	('OMIM:617694', 'Al Kaissi syndrome')	0.0	False
6	Cornelia de Lange Syndrome	MONDO:0016033	('OMIM:617694', 'Al Kaissi syndrome')	0.0	False
7	Fragile X Syndrome	MONDO:0010383	('OMIM:617694', 'Al Kaissi syndrome')	0.0	False
8	Williams Syndrome	MONDO:0008678	('OMIM:617694', 'Al Kaissi syndrome')	0.0	False
9	Sotos Syndrome	MONDO:0019349	('OMIM:617694', 'Al Kaissi syndrome')	0.0	False
10	Russell-Silver Syndrome	MONDO:0008394	('OMIM:617694', 'Al Kaissi syndrome')	0.0	False
