rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Ornithine Transcarbamylase (OTC) Deficiency	MONDO:0010703	('OMIM:615471', 'Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type)')	0.0	False
2	Carbamoyl Phosphate Synthetase I (CPS1) Deficiency	MONDO:0009376	('OMIM:615471', 'Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type)')	0.0	False
3	N-Acetylglutamate Synthase (NAGS) Deficiency	MONDO:0009377	('OMIM:615471', 'Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type)')	0.0	False
4	Propionic Acidemia	MONDO:0011628	('OMIM:615471', 'Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type)')	0.0	False
5	Methylmalonic Acidemia	MONDO:0002012	('OMIM:615471', 'Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type)')	0.0	False
6	Pyruvate Dehydrogenase (PDH) Deficiency	MONDO:0019169	('OMIM:615471', 'Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type)')	0.0	False
7	Citrullinemia Type I	MONDO:0008988	('OMIM:615471', 'Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type)')	0.0	False
8	Argininosuccinic Aciduria	MONDO:0008815	('OMIM:615471', 'Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type)')	0.0	False
9	Multiple Acyl-CoA Dehydrogenase Deficiency (MADD)	MONDO:0008721	('OMIM:615471', 'Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type)')	0.0	False
10	Hyperornithinemia-Hyperammonemia-Homocitrullinuria (HHH) Syndrome	MONDO:0009393	('OMIM:615471', 'Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type)')	0.0	False
