rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Fragile X Syndrome	MONDO:0010383	('OMIM:618089', 'Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities')	0.0	False
2	Smith-Magenis Syndrome	MONDO:0008434	('OMIM:618089', 'Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities')	0.0	False
3	Tuberous Sclerosis Complex	MONDO:0008612	('OMIM:618089', 'Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities')	0.0	False
3	Tuberous Sclerosis Complex	MONDO:0001734	('OMIM:618089', 'Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities')	0.0	False
4	Rett Syndrome	MONDO:0010726	('OMIM:618089', 'Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities')	0.0	False
5	Angelman Syndrome	MONDO:0007113	('OMIM:618089', 'Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities')	0.0	False
6	Prader-Willi Syndrome	MONDO:0008300	('OMIM:618089', 'Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities')	0.0	False
7	Autism Spectrum Disorder (Genetic Subtypes)	MONDO:0014361	('OMIM:618089', 'Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities')	0.0	False
8	Mitochondrial Disorders	MONDO:0004069	('OMIM:618089', 'Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities')	0.0	False
9	Non-Syndromic Intellectual Disability	MONDO:0000509	('OMIM:618089', 'Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities')	0.0	False
10	Neurofibromatosis Type 1	MONDO:0018975	('OMIM:618089', 'Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities')	0.0	False
