rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Noonan Syndrome	MONDO:0018997	('OMIM:617180', 'Chitayat syndrome')	0.0	False
1	Noonan Syndrome	MONDO:0008104	('OMIM:617180', 'Chitayat syndrome')	0.0	False
2	Smith-Lemli-Opitz Syndrome	MONDO:0010035	('OMIM:617180', 'Chitayat syndrome')	0.0	False
3	Cornelia de Lange Syndrome	MONDO:0016033	('OMIM:617180', 'Chitayat syndrome')	0.0	False
4	Williams Syndrome	MONDO:0008678	('OMIM:617180', 'Chitayat syndrome')	0.0	False
5	Mucopolysaccharidosis Type I (Hurler Syndrome)	MONDO:0011759	('OMIM:617180', 'Chitayat syndrome')	0.0	False
6	Aarskog-Scott Syndrome	MONDO:0007030	('OMIM:617180', 'Chitayat syndrome')	0.0	False
6	Aarskog-Scott Syndrome	MONDO:0010589	('OMIM:617180', 'Chitayat syndrome')	0.0	False
6	Aarskog-Scott Syndrome	MONDO:0021005	('OMIM:617180', 'Chitayat syndrome')	0.0	False
7	Down Syndrome	MONDO:0008608	('OMIM:617180', 'Chitayat syndrome')	0.0	False
8	Rubinstein-Taybi Syndrome	MONDO:0019188	('OMIM:617180', 'Chitayat syndrome')	0.0	False
