rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Seckel Syndrome	MONDO:0019342	('OMIM:618362', 'Coffin-Siris syndrome 8')	0.0	False
2	CDKL5 Deficiency Disorder	MONDO:0100039	('OMIM:618362', 'Coffin-Siris syndrome 8')	0.0	False
3	Primary Microcephaly (MCPH)	MONDO:0016660	('OMIM:618362', 'Coffin-Siris syndrome 8')	0.0	False
4	MECP2 Duplication Syndrome	MONDO:0010283	('OMIM:618362', 'Coffin-Siris syndrome 8')	0.0	False
5	Fragile X Syndrome	MONDO:0010383	('OMIM:618362', 'Coffin-Siris syndrome 8')	0.0	False
6	Angelman Syndrome	MONDO:0007113	('OMIM:618362', 'Coffin-Siris syndrome 8')	0.0	False
7	Dravet Syndrome	MONDO:0100135	('OMIM:618362', 'Coffin-Siris syndrome 8')	0.0	False
7	Dravet Syndrome	MONDO:0100079	('OMIM:618362', 'Coffin-Siris syndrome 8')	0.0	False
8	Rett-like Syndrome	MONDO:0010726	('OMIM:618362', 'Coffin-Siris syndrome 8')	0.0	False
9	Pitt-Hopkins Syndrome	MONDO:0012589	('OMIM:618362', 'Coffin-Siris syndrome 8')	0.0	False
