rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Smith-Lemli-Opitz syndrome	MONDO:0010035	('OMIM:612313', 'Glass syndrome')	0.0	False
2	22q11.2 deletion syndrome (DiGeorge syndrome)	MONDO:0018923	('OMIM:612313', 'Glass syndrome')	0.0	False
3	Oral-Facial-Digital syndrome	MONDO:0015375	('OMIM:612313', 'Glass syndrome')	0.0	False
4	Cri-du-chat syndrome	MONDO:0007404	('OMIM:612313', 'Glass syndrome')	0.0	False
5	Apert syndrome	MONDO:0007041	('OMIM:612313', 'Glass syndrome')	0.0	False
6	Van der Woude syndrome	MONDO:0019508	('OMIM:612313', 'Glass syndrome')	0.0	False
7	Pierre Robin sequence	MONDO:0009869	('OMIM:612313', 'Glass syndrome')	0.0	False
8	Treacher Collins syndrome	MONDO:0007944	('OMIM:612313', 'Glass syndrome')	0.0	False
8	Treacher Collins syndrome	MONDO:0002457	('OMIM:612313', 'Glass syndrome')	0.0	False
9	Stickler syndrome	MONDO:0019354	('OMIM:612313', 'Glass syndrome')	0.0	False
10	Cleft palate-only (nonsyndromic)	N/A	('OMIM:612313', 'Glass syndrome')	0.0	False
