rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Rett Syndrome	MONDO:0010726	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
2	Fragile X Syndrome	MONDO:0010383	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
3	Angelman Syndrome	MONDO:0007113	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
4	Mitochondrial Disorders (e.g., Leigh Syndrome)	MONDO:0016814	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
5	Smith-Magenis Syndrome	MONDO:0008434	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
6	Prader-Willi Syndrome	MONDO:0008300	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
7	Non-Syndromic Intellectual Disability	MONDO:0000509	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
8	Congenital Hypotonia Syndromes (e.g., hypotonia-cystinuria syndrome)	MONDO:0011669	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
9	Wilson-Turner Syndrome	MONDO:0010665	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
10	MECP2 Duplication Syndrome	MONDO:0010283	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
