rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Angelman syndrome	MONDO:0007113	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
2	Aicardi-Goutières syndrome	MONDO:0018866	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
3	Severe Combined Immunodeficiency (SCID)	MONDO:0015974	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
4	Rett-like syndrome	MONDO:0010726	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
5	Fragile X syndrome	MONDO:0010383	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
6	Smith-Magenis syndrome	MONDO:0008434	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
7	Mitochondrial disorders (e.g., MELAS)	MONDO:0010789	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
8	Microcephalic primordial dwarfism syndromes	MONDO:0008872	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
9	Joubert syndrome	MONDO:0018772	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
9	Joubert syndrome	MONDO:0008944	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
10	Smith-Magenis syndrome	MONDO:0008434	('OMIM:615502', 'Intellectual developmental disorder, autosomal dominant 21')	0.0	False
