rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Cleidocranial dysostosis	MONDO:0007340	('OMIM:119600', 'Cleidocranial dysplasia')	1.0	True
2	Osteogenesis imperfecta	MONDO:0019019	('OMIM:119600', 'Cleidocranial dysplasia')	0.0	False
3	Crouzon syndrome	MONDO:0007405	('OMIM:119600', 'Cleidocranial dysplasia')	0.0	False
4	Apert syndrome	MONDO:0007041	('OMIM:119600', 'Cleidocranial dysplasia')	0.0	False
5	Noonan syndrome	MONDO:0018997	('OMIM:119600', 'Cleidocranial dysplasia')	0.0	False
5	Noonan syndrome	MONDO:0008104	('OMIM:119600', 'Cleidocranial dysplasia')	0.0	False
6	Marfan syndrome	MONDO:0007947	('OMIM:119600', 'Cleidocranial dysplasia')	0.0	False
7	Saethre-Chotzen syndrome	MONDO:0007042	('OMIM:119600', 'Cleidocranial dysplasia')	0.0	False
8	Ehlers-Danlos syndrome	MONDO:0020066	('OMIM:119600', 'Cleidocranial dysplasia')	0.0	False
9	Hypochondroplasia	MONDO:0007793	('OMIM:119600', 'Cleidocranial dysplasia')	0.0	False
10	Russell-Silver syndrome	MONDO:0008394	('OMIM:119600', 'Cleidocranial dysplasia')	0.0	False
