rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Leigh disease (Subacute Necrotizing Encephalomyelopathy)	MONDO:0008069	('OMIM:616370', 'Multiple mitochondrial dysfunctions syndrome 4')	0.0	False
2	Mitochondrial Encephalomyopathy, Lactic Acidosis, and Stroke-like Episodes (MELAS)	MONDO:0010789	('OMIM:616370', 'Multiple mitochondrial dysfunctions syndrome 4')	0.0	False
3	Leukoencephalopathy with Vanishing White Matter	MONDO:0800448	('OMIM:616370', 'Multiple mitochondrial dysfunctions syndrome 4')	0.0	False
4	Adrenoleukodystrophy	MONDO:0018544	('OMIM:616370', 'Multiple mitochondrial dysfunctions syndrome 4')	0.0	False
4	Adrenoleukodystrophy	MONDO:0010247	('OMIM:616370', 'Multiple mitochondrial dysfunctions syndrome 4')	0.0	False
5	Canavan Disease	MONDO:0010079	('OMIM:616370', 'Multiple mitochondrial dysfunctions syndrome 4')	0.0	False
6	Aicardi-Goutières Syndrome	MONDO:0018866	('OMIM:616370', 'Multiple mitochondrial dysfunctions syndrome 4')	0.0	False
7	Neuronal Ceroid Lipofuscinoses	MONDO:0014147	('OMIM:616370', 'Multiple mitochondrial dysfunctions syndrome 4')	0.0	False
8	Wilson Disease	MONDO:0010200	('OMIM:616370', 'Multiple mitochondrial dysfunctions syndrome 4')	0.0	False
9	Krabbe Disease	MONDO:0009499	('OMIM:616370', 'Multiple mitochondrial dysfunctions syndrome 4')	0.0	False
10	Zellweger Spectrum Disorders	MONDO:0019234	('OMIM:616370', 'Multiple mitochondrial dysfunctions syndrome 4')	0.0	False
10	Zellweger Spectrum Disorders	MONDO:0019609	('OMIM:616370', 'Multiple mitochondrial dysfunctions syndrome 4')	0.0	False
