rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	CDKL5 Deficiency Disorder	MONDO:0100039	('OMIM:613721', 'Developmental and epileptic encephalopathy 11')	0.0	False
2	STXBP1-Related Disorder	N/A	('OMIM:613721', 'Developmental and epileptic encephalopathy 11')	0.0	False
3	Tuberous Sclerosis	MONDO:0001734	('OMIM:613721', 'Developmental and epileptic encephalopathy 11')	0.0	False
4	Angelman Syndrome	MONDO:0007113	('OMIM:613721', 'Developmental and epileptic encephalopathy 11')	0.0	False
5	SCN2A-Related Disorder	N/A	('OMIM:613721', 'Developmental and epileptic encephalopathy 11')	0.0	False
6	Lennox-Gastaut Syndrome	MONDO:0016532	('OMIM:613721', 'Developmental and epileptic encephalopathy 11')	0.0	False
7	West Syndrome	MONDO:0018097	('OMIM:613721', 'Developmental and epileptic encephalopathy 11')	0.0	False
8	SYNGAP1-Related Intellectual Disability	MONDO:0012960	('OMIM:613721', 'Developmental and epileptic encephalopathy 11')	0.0	False
9	Pitt-Hopkins Syndrome	MONDO:0012589	('OMIM:613721', 'Developmental and epileptic encephalopathy 11')	0.0	False
10	Dravet Syndrome	MONDO:0100135	('OMIM:613721', 'Developmental and epileptic encephalopathy 11')	0.0	False
10	Dravet Syndrome	MONDO:0100079	('OMIM:613721', 'Developmental and epileptic encephalopathy 11')	0.0	False
