rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Retinitis pigmentosa	MONDO:0008377	('OMIM:608194', 'Cone-rod dystrophy 13')	0.0	False
1	Retinitis pigmentosa	MONDO:0019200	('OMIM:608194', 'Cone-rod dystrophy 13')	0.0	False
2	Stargardt disease	MONDO:0019353	('OMIM:608194', 'Cone-rod dystrophy 13')	0.0	False
3	Cone-rod dystrophy	MONDO:0015993	('OMIM:608194', 'Cone-rod dystrophy 13')	0.5	True
3	Cone-rod dystrophy	MONDO:0007362	('OMIM:608194', 'Cone-rod dystrophy 13')	0.0	False
3	Cone-rod dystrophy	MONDO:0011458	('OMIM:608194', 'Cone-rod dystrophy 13')	0.0	False
3	Cone-rod dystrophy	MONDO:0100438	('OMIM:608194', 'Cone-rod dystrophy 13')	0.0	False
4	Best vitelliform macular dystrophy	MONDO:0007931	('OMIM:608194', 'Cone-rod dystrophy 13')	0.0	False
5	Choroideremia	MONDO:0010557	('OMIM:608194', 'Cone-rod dystrophy 13')	0.0	False
6	Achromatopsia	MONDO:0018852	('OMIM:608194', 'Cone-rod dystrophy 13')	0.0	False
7	Juvenile macular dystrophy	N/A	('OMIM:608194', 'Cone-rod dystrophy 13')	0.0	False
