rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Myopia (Nearsightedness)	MONDO:0001384	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
2	Hyperopia (Farsightedness)	MONDO:0004891	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
3	Astigmatism	MONDO:0011284	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
4	Presbyopia	MONDO:0001330	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
5	Cataract	MONDO:0005129	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
6	Age-related Macular Degeneration	MONDO:0005150	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
7	Amblyopia	MONDO:0001020	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
8	Glaucoma	MONDO:0005041	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
9	Retinal Detachment	MONDO:0008375	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
10	Optic Neuritis	MONDO:0005885	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
