rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Marfan Syndrome	MONDO:0007947	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
2	Familial Hypercholesterolemia	MONDO:0005439	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
3	Hereditary Hemochromatosis	MONDO:0006507	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
4	Von Willebrand Disease	MONDO:0024574	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
4	Von Willebrand Disease	MONDO:0019565	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
5	Hemophilia A	MONDO:0010602	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
6	BRCA1/2 Mutation-Associated Cancer Syndromes	MONDO:0012933	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
7	Ehlers-Danlos Syndrome	MONDO:0020066	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
8	Osteogenesis Imperfecta	MONDO:0019019	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
9	Neurofibromatosis Type 1	MONDO:0018975	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
10	Tuberous Sclerosis Complex	MONDO:0008612	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
10	Tuberous Sclerosis Complex	MONDO:0001734	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
