rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Down Syndrome (Trisomy 21)	MONDO:0700126	('OMIM:148050', 'KBG syndrome')	0.0	False
2	Fragile X Syndrome	MONDO:0010383	('OMIM:148050', 'KBG syndrome')	0.0	False
3	Cornelia de Lange Syndrome	MONDO:0016033	('OMIM:148050', 'KBG syndrome')	0.0	False
4	Russell-Silver Syndrome	MONDO:0008394	('OMIM:148050', 'KBG syndrome')	0.0	False
5	Williams Syndrome	MONDO:0008678	('OMIM:148050', 'KBG syndrome')	0.0	False
6	Noonan Syndrome	MONDO:0018997	('OMIM:148050', 'KBG syndrome')	0.0	False
6	Noonan Syndrome	MONDO:0008104	('OMIM:148050', 'KBG syndrome')	0.0	False
7	Kabuki Syndrome	MONDO:0007843	('OMIM:148050', 'KBG syndrome')	0.0	False
7	Kabuki Syndrome	MONDO:0016512	('OMIM:148050', 'KBG syndrome')	0.0	False
8	Smith-Magenis Syndrome	MONDO:0008434	('OMIM:148050', 'KBG syndrome')	0.0	False
