rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	1p36 Deletion Syndrome	MONDO:0011929	('OMIM:148050', 'KBG syndrome')	0.0	False
2	Williams-Beuren Syndrome	MONDO:0008678	('OMIM:148050', 'KBG syndrome')	0.0	False
3	Phelan-McDermid Syndrome	MONDO:0011652	('OMIM:148050', 'KBG syndrome')	0.0	False
4	Cornelia de Lange Syndrome	MONDO:0016033	('OMIM:148050', 'KBG syndrome')	0.0	False
5	Fragile X Syndrome	MONDO:0010383	('OMIM:148050', 'KBG syndrome')	0.0	False
6	Smith-Magenis Syndrome	MONDO:0008434	('OMIM:148050', 'KBG syndrome')	0.0	False
7	Chromosome 9p Deletion Syndrome	MONDO:0008013	('OMIM:148050', 'KBG syndrome')	0.0	False
8	DYRK1A Syndrome	MONDO:0013578	('OMIM:148050', 'KBG syndrome')	0.0	False
9	Noonan Syndrome	MONDO:0018997	('OMIM:148050', 'KBG syndrome')	0.0	False
9	Noonan Syndrome	MONDO:0008104	('OMIM:148050', 'KBG syndrome')	0.0	False
10	Non-syndromic Intellectual Disability	MONDO:0000509	('OMIM:148050', 'KBG syndrome')	0.0	False
