rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	CDKL5 Deficiency Disorder	MONDO:0100039	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
2	Rett Syndrome	MONDO:0010726	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
3	Tuberous Sclerosis Complex	MONDO:0008612	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
3	Tuberous Sclerosis Complex	MONDO:0001734	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
4	FOXG1 Syndrome	MONDO:0035383	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
5	ARX-Related Disorder	N/A	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
6	SCN2A-Related Epileptic Encephalopathy	MONDO:0013388	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
7	STXBP1-Related Encephalopathy	MONDO:0012812	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	1.0	True
8	Dravet Syndrome	MONDO:0100135	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
8	Dravet Syndrome	MONDO:0100079	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
