rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Medium-chain acyl-CoA dehydrogenase deficiency (MCADD)	MONDO:0008721	('OMIM:605911', 'HMG-CoA synthase-2 deficiency')	0.0	False
2	Propionic acidemia	MONDO:0011628	('OMIM:605911', 'HMG-CoA synthase-2 deficiency')	0.0	False
3	Methylmalonic acidemia	MONDO:0002012	('OMIM:605911', 'HMG-CoA synthase-2 deficiency')	0.0	False
4	Glycogen storage disease type I (Von Gierke disease)	MONDO:0002413	('OMIM:605911', 'HMG-CoA synthase-2 deficiency')	0.0	False
5	Multiple acyl-CoA dehydrogenase deficiency (MADD)	MONDO:0008721	('OMIM:605911', 'HMG-CoA synthase-2 deficiency')	0.0	False
6	Fructose-1,6-bisphosphatase deficiency	MONDO:0009251	('OMIM:605911', 'HMG-CoA synthase-2 deficiency')	0.0	False
7	Carnitine transporter deficiency	MONDO:0008919	('OMIM:605911', 'HMG-CoA synthase-2 deficiency')	0.0	False
8	Hereditary fructose intolerance	MONDO:0009249	('OMIM:605911', 'HMG-CoA synthase-2 deficiency')	0.0	False
9	Maple syrup urine disease	MONDO:0009563	('OMIM:605911', 'HMG-CoA synthase-2 deficiency')	0.0	False
10	Glutaric acidemia type I	MONDO:0009281	('OMIM:605911', 'HMG-CoA synthase-2 deficiency')	0.0	False
