rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Refractive errors (e.g., myopia, hyperopia, astigmatism)	MONDO:0004892	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
2	Cataracts	HP:0000518	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
3	Age-related macular degeneration	MONDO:0005150	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
4	Glaucoma	MONDO:0005041	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
5	Diabetic retinopathy	MONDO:0005266	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
6	Optic neuritis	MONDO:0005885	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
7	Retinal detachment	MONDO:0008375	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
8	Amblyopia	MONDO:0001020	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
9	Keratoconus	MONDO:0015486	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
10	Macular dystrophy	HP:0007754	('OMIM:613826', 'Leber congenital amaurosis 6')	0.0	False
