rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Dravet syndrome	MONDO:0100135	('OMIM:620465', 'Epilepsy, early-onset, 3, with or without developmental delay')	0.0	False
1	Dravet syndrome	MONDO:0100079	('OMIM:620465', 'Epilepsy, early-onset, 3, with or without developmental delay')	0.0	False
2	CDKL5 deficiency disorder	MONDO:0100039	('OMIM:620465', 'Epilepsy, early-onset, 3, with or without developmental delay')	0.0	False
3	SCN2A-related epileptic encephalopathy	MONDO:0013388	('OMIM:620465', 'Epilepsy, early-onset, 3, with or without developmental delay')	0.0	False
4	Angelman syndrome	MONDO:0007113	('OMIM:620465', 'Epilepsy, early-onset, 3, with or without developmental delay')	0.0	False
5	Lennox-Gastaut syndrome	MONDO:0016532	('OMIM:620465', 'Epilepsy, early-onset, 3, with or without developmental delay')	0.0	False
6	Tuberous sclerosis complex	MONDO:0001734	('OMIM:620465', 'Epilepsy, early-onset, 3, with or without developmental delay')	0.0	False
6	Tuberous sclerosis complex	MONDO:0008612	('OMIM:620465', 'Epilepsy, early-onset, 3, with or without developmental delay')	0.0	False
7	Rett syndrome	MONDO:0010726	('OMIM:620465', 'Epilepsy, early-onset, 3, with or without developmental delay')	0.0	False
8	SCN8A-related epileptic encephalopathy	MONDO:0013801	('OMIM:620465', 'Epilepsy, early-onset, 3, with or without developmental delay')	0.0	False
9	Ohtahara syndrome	MONDO:0100062	('OMIM:620465', 'Epilepsy, early-onset, 3, with or without developmental delay')	0.0	False
10	GLUT1 deficiency syndrome	MONDO:0000188	('OMIM:620465', 'Epilepsy, early-onset, 3, with or without developmental delay')	0.0	False
10	GLUT1 deficiency syndrome	MONDO:0011724	('OMIM:620465', 'Epilepsy, early-onset, 3, with or without developmental delay')	0.0	False
