rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Benign familial infantile epilepsy	MONDO:0017615	('OMIM:620537', 'Developmental and epileptic encephalopathy 112')	0.0	False
2	Genetic epilepsy with febrile seizures plus (GEFS+)	MONDO:0018214	('OMIM:620537', 'Developmental and epileptic encephalopathy 112')	0.0	False
3	KCNQ2-related epileptic encephalopathy	MONDO:0013387	('OMIM:620537', 'Developmental and epileptic encephalopathy 112')	0.0	False
4	Benign infantile seizures	MONDO:0015639	('OMIM:620537', 'Developmental and epileptic encephalopathy 112')	0.0	False
5	GLUT1 deficiency syndrome	MONDO:0000188	('OMIM:620537', 'Developmental and epileptic encephalopathy 112')	0.0	False
5	GLUT1 deficiency syndrome	MONDO:0011724	('OMIM:620537', 'Developmental and epileptic encephalopathy 112')	0.0	False
6	SCN1A-related epilepsy	N/A	('OMIM:620537', 'Developmental and epileptic encephalopathy 112')	0.0	False
7	KCNQ3-related epilepsy	MONDO:0007366	('OMIM:620537', 'Developmental and epileptic encephalopathy 112')	0.0	False
8	Pyridoxine-dependent epilepsy	MONDO:0020741	('OMIM:620537', 'Developmental and epileptic encephalopathy 112')	0.0	False
8	Pyridoxine-dependent epilepsy	MONDO:0009945	('OMIM:620537', 'Developmental and epileptic encephalopathy 112')	0.0	False
