rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Albright hereditary osteodystrophy (AHO)	MONDO:0012912	('OMIM:620662', 'Hoxha-Aliu syndrome')	0.0	False
2	Pseudohypoparathyroidism type Ia	MONDO:0007078	('OMIM:620662', 'Hoxha-Aliu syndrome')	0.0	False
3	Brachydactyly-mental retardation syndrome	MONDO:0010886	('OMIM:620662', 'Hoxha-Aliu syndrome')	0.0	False
4	Rubinstein-Taybi syndrome	MONDO:0019188	('OMIM:620662', 'Hoxha-Aliu syndrome')	0.0	False
5	Kabuki syndrome	MONDO:0016512	('OMIM:620662', 'Hoxha-Aliu syndrome')	0.0	False
5	Kabuki syndrome	MONDO:0007843	('OMIM:620662', 'Hoxha-Aliu syndrome')	0.0	False
6	Cornelia de Lange syndrome	MONDO:0016033	('OMIM:620662', 'Hoxha-Aliu syndrome')	0.0	False
7	Langer mesomelic dysplasia	MONDO:0009588	('OMIM:620662', 'Hoxha-Aliu syndrome')	0.0	False
8	Léri-Weill dyschondrosteosis	MONDO:0007481	('OMIM:620662', 'Hoxha-Aliu syndrome')	0.0	False
9	Williams-Beuren syndrome	MONDO:0008678	('OMIM:620662', 'Hoxha-Aliu syndrome')	0.0	False
10	Russell-Silver syndrome	MONDO:0008394	('OMIM:620662', 'Hoxha-Aliu syndrome')	0.0	False
