rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Aicardi syndrome	MONDO:0010568	('OMIM:616362', 'Houge-Janssen syndrome 2')	0.0	False
2	Mowat-Wilson syndrome	MONDO:0009341	('OMIM:616362', 'Houge-Janssen syndrome 2')	0.0	False
3	Joubert syndrome	MONDO:0018772	('OMIM:616362', 'Houge-Janssen syndrome 2')	0.0	False
3	Joubert syndrome	MONDO:0008944	('OMIM:616362', 'Houge-Janssen syndrome 2')	0.0	False
4	L1 syndrome (L1CAM mutations)	N/A	('OMIM:616362', 'Houge-Janssen syndrome 2')	0.0	False
5	Dandy-Walker malformation	MONDO:0009072	('OMIM:616362', 'Houge-Janssen syndrome 2')	0.0	False
6	Fetal alcohol spectrum disorders	MONDO:0016011	('OMIM:616362', 'Houge-Janssen syndrome 2')	0.0	False
6	Fetal alcohol spectrum disorders	MONDO:0000408	('OMIM:616362', 'Houge-Janssen syndrome 2')	0.0	False
7	Walker-Warburg syndrome	MONDO:0000171	('OMIM:616362', 'Houge-Janssen syndrome 2')	0.0	False
8	Chromosomal abnormalities (e.g., agenesis of the corpus callosum associated with genetic syndromes)	MONDO:0010224	('OMIM:616362', 'Houge-Janssen syndrome 2')	0.0	False
